,worker_id,age,sex,task_idx,task_name,accuracy,confidence_min,confidence_max,confidence_average,rt_avg,task_description
0,0,24,Female,0,task_shape,0.95,94,100,99.7,2018.45,"Different Shape, the other 3 were all the same shape, just different size/placement in the box"
1,0,24,Female,1,task_pos,1.0,93,100,99.65,2451.2,"Different location, one option's shape was in a different location in the box than the other three"
2,0,24,Female,49,task_pos_shape_1,0.8,31,79,62.95,6886.05,Orientation of the two shapes in relation to one another
3,0,24,Female,20,task_shape_contact_2,1.0,33,87,74.05,4249.9,"Shape and Orientation of the two touching shapes in one box. In 3 of the boxes, the two shapes touching are the same shape, size and orientation. The odd one out has two different shapes touching"
4,0,24,Female,70,task_rot_color,0.9,18,83,66.95,7676.7,"Except for the odd one out, in a box each shape should coordinate with a specific color"
5,0,24,Female,47,task_pos_size_1,0.95,27,83,68.65,4920.85,Orientation of little shape vs big shape in the box
12,1,33,Male,0,task_shape,1.0,78,100,91.85,1906.55,"they are the same shape, although they may vary in size or color"
13,1,33,Male,5,task_flip,1.0,98,100,99.25,1831.3,"the same shape, though it might be a different size, color, or orientation"
14,1,33,Male,95,task_shape_flip_1,0.9,67,90,82.8,4747.7,"three of the options have the same two shapes repeated and one of a different shape, the wrong option doesnt have the right pair of shapes"
15,1,33,Male,86,task_shape_rot_1,1.0,54,87,77.05,5070.6,"two of the shape A, one of shape B. can be arranged differently"
16,1,33,Male,79,task_inside_contact,1.0,67,90,84.15,3077.15,"there are pairs of shape, some with another shape inside them. each round the rule is either that the pairs are mixed (one with shape and one without) or not mixed (ones with shape inside are paired and ones without are paired)"
17,1,33,Male,97,task_size_flip_1,0.95,6,36,26.8,4794.3,each box has three of the same shape in different sizes - the first and second are a mirror of each other
18,2,45,Female,6,task_count,1.0,89,100,94.45,2291.65,One image had more or less of the figures drawn inside of it.  The other three had the same amount.
19,2,45,Female,8,task_contact,1.0,91,100,97.65,1684.05,One had figures that were drawn apart. The other three had figures that were connected.
20,2,45,Female,61,task_size_count_1,0.55,3,96,47.15,8140.2,"Three had the same number of large, medium, and small shapes.  The other one had a different number of small, medium, and large shapes."
21,2,45,Female,80,task_contact_count_1,1.0,83,98,93.25,8367.2,Three had groups of figures with the same amount of figures grouped together.  The other one had different amounts of the groups.
22,2,45,Female,76,task_color_contact,0.85,83,95,91.95,5850.2,Three had colors coordinated.  The other one had different color coordination.
23,2,45,Female,66,task_shape_inside,0.95,90,99,94.1,3358.7,Three were drawn in the same shape.  The other one was a different shape.
30,3,33,Male,4,task_rot,0.85,22,100,91.4,5195.6,Its based on shape
31,3,33,Male,7,task_inside,1.0,100,100,100.0,2180.5,The little circles inside the bigger one.
32,3,33,Male,72,task_rot_inside_3,0.5,62,100,84.95,10864.85,The mini inside matches the big shape
33,3,33,Male,73,task_rot_count_1,0.25,42,100,71.35,5972.25,It has to do with the way the shapes are oriented together.
34,3,33,Male,55,task_pos_contact,0.25,55,92,72.3,5829.9,The shape of the two connected islands needs to match the others.
35,3,33,Male,93,task_flip_inside_3,0.8,42,100,88.75,7285.75,The drawing inside must match the drawing outside.
36,4,21,Male,0,task_shape,1.0,99,100,99.95,2337.45,three of the same shape in different sizes
37,4,21,Male,1,task_pos,1.0,61,100,98.05,3995.25,three shapes are in the same location and one is different
38,4,21,Male,49,task_pos_shape_1,0.75,1,93,46.3,13747.5,"the height order of the shapes remain the same except for one
"
39,4,21,Male,20,task_shape_contact_2,1.0,41,100,94.7,5001.15,two duplicates are paired together expect for one box
40,4,21,Male,70,task_rot_color,0.9,35,100,89.45,7411.5,"same color should equal same shape except for one box
"
41,4,21,Male,47,task_pos_size_1,0.9,15,100,73.0,7689.95,the shapes follow the same size order either bottom to top or left to right except for one
42,5,24,Female,0,task_shape,0.95,99,100,99.9,2162.6,matching shape
43,5,24,Female,3,task_color,1.0,99,100,99.95,1096.2,matching color
44,5,24,Female,56,task_size_shape_1,0.3,2,91,46.05,7747.4,no idea
45,5,24,Female,63,task_shape_color,1.0,50,100,96.0,3000.15,same shape with same color
46,5,24,Female,51,task_pos_rot_1,1.0,75,100,97.95,4514.55,shapes facing same way
47,5,24,Female,17,task_inside_count_1,0.95,97,100,99.8,3331.2,same number of shapes inside shape
48,6,39,Female,0,task_shape,0.85,14,100,76.55,3015.4,"3 images were the same, even if different in size.  one was different "
49,6,39,Female,3,task_color,0.95,23,99,87.0,2098.9,the different colored one was the odd one out
50,6,39,Female,63,task_shape_color,0.5,8,97,45.25,5250.75,the reversed colors were the odd one out
51,6,39,Female,56,task_size_shape_1,0.55,7,72,33.45,7658.9,I am not sure
52,6,39,Female,17,task_inside_count_1,0.95,15,91,64.45,5345.75,the different number of enclosed spots was out
53,6,39,Female,51,task_pos_rot_1,0.85,19,84,61.85,6020.6,one of the shapes were slightly different than the others
60,7,19,Female,1,task_pos,0.95,88,100,98.3,2922.2,The location of three of the objects is the same--the outlier is somewhere different.
61,7,19,Female,6,task_count,1.0,100,100,100.0,2117.0,The amount of shapes in three of the boxes are the same but the outlier either has more or less shapes.
62,7,19,Female,24,task_pos_inside_3,0.35,1,35,11.85,10456.3,I don't know??? Something about the amongus shapes?
63,7,19,Female,13,task_pos_count_2,0.7,3,94,58.4,10677.4,"If the most matching are high, the odd is the lowest, if the most matching are low, the odd is the highest, else 9?"
64,7,19,Female,68,task_shape_count_1,0.95,74,100,96.25,11414.4,"There are multiple groups of shapes, in various numbers. The odd one out has a different number in each of the groups."
65,7,19,Female,101,task_flip_contact_1,0.8,81,100,96.1,5731.8,"The two shapes touching must be the same shape, they can have different sizes but topologically they must have the same shape."
66,8,25,Female,3,task_color,1.0,94,100,99.7,1444.3,different color than the other shapes
67,8,25,Female,5,task_flip,0.95,77,100,92.75,3009.95,different shape than the others
68,8,25,Female,94,task_flip_color_1,0.85,33,99,74.1,13563.55,one shape is different from the other shapes of the same color
69,8,25,Female,53,task_pos_col_1,0.85,29,98,72.4,11239.4,The same color shapes are on the opposite side of the square compared to the three other squares
70,8,25,Female,60,task_size_contact,0.5,15,68,36.85,11784.75,i do not know the rule.
71,8,25,Female,96,task_rot_flip_1,0.6,25,75,51.95,35509.5,the shapes are not rotated the same way as the other squares
72,9,33,Male,4,task_rot,1.0,29,100,79.55,3309.2,the shape of the shape
73,9,33,Male,7,task_inside,1.0,92,100,98.85,2082.8,location of the 2 shapes
74,9,33,Male,73,task_rot_count_1,0.65,3,88,47.75,13610.35,the amount of different shapes
75,9,33,Male,72,task_rot_inside_3,0.75,3,88,53.55,8341.45,the difference between the outer and inner shape
76,9,33,Male,93,task_flip_inside_3,0.6,0,70,23.35,10923.2,The difference between the outer and inner shape
